Id,Region,Name,Name_EN,Category,Url
1,dolnośląskie,Uniwersytet Wrocławski,University of Wrocław,Public,http://www.uni.wroc.pl/
2,dolnośląskie,Politechnika Wrocławska,Wrocław University of Science and Technology,Public,http://www.pwr.wroc.pl/
3,dolnośląskie,Uniwersytet Ekonomiczny we Wrocławiu,Wroclaw University of Economics and Business,Public,https://www.ue.wroc.pl/
4,dolnośląskie,Uniwersytet Przyrodniczy we Wrocławiu,Wrocław University of Environmental and Life Sciences,Public,https://upwr.edu.pl/
5,dolnośląskie,Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,University of Health and Sport Sciences in Wrocław,Public,http://www.awf.wroc.pl/
6,dolnośląskie,Papieski Wydział Teologiczny we Wrocławiu,Pontifical Faculty of Theology in Wroclaw,Public,http://www.pwt.wroc.pl/
7,dolnośląskie,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,Wroclaw Medical University,Public,https://www.umw.edu.pl/pl
8,dolnośląskie,Akademia Muzyczna im. Karola Lipińskiego,The Karol Lipiński Academy of Music in Wrocław,Public,http://www.amuz.wroc.pl/
9,dolnośląskie,Akademia Sztuk Pięknych im. Eugeniusza Gepperta,The Eugeniusz Geppert Academy of Art and Design in Wroclaw,Public,http://www.asp.wroc.pl/
10,dolnośląskie,Akademia Wojsk Lądowych,Military University of Land Forces,Public,https://www.wojsko-polskie.pl/awl/
11,dolnośląskie,Karkonoska Akademia Nauk Stosowanych w Jeleniej Górze,Karkonosze University of Applied Sciences in Jelenia Góra,Public,https://kans.pl/
12,dolnośląskie,Państwowa Wyższa Szkoła Zawodowa w Głogowie,State University of Applied Sciences in Głogów,Public,https://pwsz.glogow.pl/
13,dolnośląskie,Collegium Witelona Uczelnia Państwowa,Witelon Collegium State University,Public,http://www.pwsz.legnica.edu.pl/
14,dolnośląskie,Akademia Nauk Stosowanych Angelusa Silesiusa,Angelus Silesius University of Applied Sciences,Public,https://www.ans.edu.pl/
15,kujawsko-pomorskie,Uniwersytet Mikołaja Kopernika w Toruniu,Nicolaus Copernicus University in Toruń,Public,http://www.uni.torun.pl/
16,kujawsko-pomorskie,Uniwersytet Kazimierza Wielkiego w Bydgoszczy,Kazimierz Wielki University in Bydgoszcz,Public,http://www.ukw.edu.pl/
17,kujawsko-pomorskie,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,Bydgoszcz University of Science and Technology,Public,https://www.utp.edu.pl/pl/
18,kujawsko-pomorskie,Akademia Muzyczna im. Feliksa Nowowiejskiego,The Feliks Nowowiejski Academy of Music,Public,http://www.amuz.bydgoszcz.pl/
19,kujawsko-pomorskie,Państwowa Akademia Nauk Stosowanych we Włocławku,The State Academy of Applied Sciences in Włocławek,Public,https://puz.wloclawek.pl/
20,lubelskie,Uniwersytet Marii Curie-Skłodowskiej w Lublinie,Maria Curie-Sklodowska University in Lublin,Public,http://www.umcs.lublin.pl/
21,lubelskie,Politechnika Lubelska,Lublin University of Technology,Public,http://www.pollub.pl/
22,lubelskie,Uniwersytet Przyrodniczy w Lublinie,University of Life Sciences in Lublin,Public,https://up.lublin.pl/
23,lubelskie,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Catholic University of Lublin,Public,https://www.kul.pl/
24,lubelskie,Uniwersytet Medyczny w Lublinie,The Medical University of Lublin,Public,https://www.umlub.pl/
25,lubelskie,Lotnicza Akademia Wojskowa,Polish Air Force University,Public,https://www.wojsko-polskie.pl/law/
26,lubelskie,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,John Paul II University of Applied Sciences in Biała Podlaska,Public,http://www.pswbp.pl/
27,lubelskie,Państwowa Akademia Nauk Stosowanych w Chełmie,The State School of Higher Education in Chełm,Public,https://panschelm.edu.pl/
28,lubelskie,Akademia Zamojska,The Academy of Zamość,Public,http://pwszzamosc.pl/
29,lubuskie,Uniwersytet Zielonogórski,University of Zielona Góra,Public,http://www.uz.zgora.pl/
30,lubuskie,Akademia im. Jakuba z Paradyża,The Jacob of Paradies University,Public,http://www.pwsz.pl/
31,łódzkie,Uniwersytet Łódzki,University of Łódź,Public,http://www.uni.lodz.pl/
32,łódzkie,Politechnika Łódzka,Lodz University of Technology,Public,http://www.p.lodz.pl/
33,łódzkie,Uniwersytet Medyczny w Łodzi,The Medical University of Lodz,Public,https://umed.pl/
