Id,Region,Name,Category,Url
1,dolnośląskie,University Wrocławski,Public,http://www.uni.wroc.pl/
2,dolnośląskie,Politechnika Wrocławska,Public,http://www.pwr.wroc.pl/
3,dolnośląskie,University Ekonomiczny we Wrocławiu,Public,https://www.ue.wroc.pl/
4,dolnośląskie,University Przyrodniczy we Wrocławiu,Public,https://upwr.edu.pl/
5,dolnośląskie,Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu,Public,http://www.awf.wroc.pl/
6,dolnośląskie,Papieski Wydział Teologiczny we Wrocławiu,Public,http://www.pwt.wroc.pl/
7,dolnośląskie,Uniwersytet Medyczny im. Piastów Śląskich we Wrocławiu,Public,https://www.umw.edu.pl/pl
8,dolnośląskie,Akademia Muzyczna im. Karola Lipińskiego,Public,http://www.amuz.wroc.pl/
9,dolnośląskie,Akademia Sztuk Pięknych im. Eugeniusza Gepperta,Public,http://www.asp.wroc.pl/
10,dolnośląskie,Akademia Wojsk Lądowych,Public,https://www.wojsko-polskie.pl/awl/
11,dolnośląskie,Karkonoska Akademia Nauk Stosowanych w Jeleniej Górze,Public,https://kans.pl/
12,dolnośląskie,Państwowa Wyższa Szkoła Zawodowa w Głogowie,Public,https://pwsz.glogow.pl/
13,dolnośląskie,Collegium Witelona Uczelnia Państwowa,Public,http://www.pwsz.legnica.edu.pl/
14,dolnośląskie,Akademia Nauk Stosowanych Angelusa Silesiusa,Public,https://www.ans.edu.pl/
15,kujawsko-pomorskie,University Mikołaja Kopernika w Toruniu,Public,http://www.uni.torun.pl/
16,kujawsko-pomorskie,University Kazimierza Wielkiego w Bydgoszczy,Public,http://www.ukw.edu.pl/
17,kujawsko-pomorskie,Politechnika Bydgoska im. Jana i Jędrzeja Śniadeckich,Public,https://www.utp.edu.pl/pl/
18,kujawsko-pomorskie,Akademia Muzyczna im. Feliksa Nowowiejskiego,Public,http://www.amuz.bydgoszcz.pl/
19,kujawsko-pomorskie,Państwowa Akademia Nauk Stosowanych we Włocławku,Public,https://puz.wloclawek.pl/
20,lubelskie,University Marii Curie-Skłodowskiej w Lublinie,Public,http://www.umcs.lublin.pl/
21,lubelskie,Politechnika Lubelska,Public,http://www.pollub.pl/
22,lubelskie,University Przyrodniczy w Lublinie,Public,https://up.lublin.pl/
23,lubelskie,Katolicki Uniwersytet Lubelski Jana Pawła II w Lublinie,Public,https://www.kul.pl/
24,lubelskie,Uniwersytet Medyczny w Lublinie,Public,https://www.umlub.pl/
25,lubelskie,Lotnicza Akademia Wojskowa,Public,https://www.wojsko-polskie.pl/law/
26,lubelskie,Akademia Bialska Nauk Stosowanych im. Jana Pawła II,Public,http://www.pswbp.pl/
27,lubelskie,Państwowa Akademia Nauk Stosowanych w Chełmie,Public,https://panschelm.edu.pl/
28,lubelskie,Akademia Zamojska,Public,http://pwszzamosc.pl/
29,lubuskie,University Zielonogórski,Public,http://www.uz.zgora.pl/
30,lubuskie,Akademia im. Jakuba z Paradyża,Public,http://www.pwsz.pl/
31,łódzkie,University Łódzki,Public,http://www.uni.lodz.pl/
32,łódzkie,Politechnika Łódzka,Public,http://www.p.lodz.pl/
33,łódzkie,Uniwersytet Medyczny w Łodzi,Public,https://umed.pl/
34,łódzkie,Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów,Public,http://www.amuz.lodz.pl/
35,łódzkie,Akademia Sztuk Pięknych im. Władysława Strzemińskiego,Public,http://www.asp.lodz.pl/
36,łódzkie,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera",Public,http://www.filmschool.lodz.pl/
37,łódzkie,Akademia Nauk Stosowanych Stefana Batorego,Public,https://www.pusb.pl/
38,małopolskie,Politechnika Krakowska im. Tadeusza Kościuszki,Public,http://www.pk.edu.pl/
39,małopolskie,Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie,Public,http://www.agh.edu.pl/
40,małopolskie,University Jagielloński w Krakowie,Public,http://www.uj.edu.pl/
41,małopolskie,University Ekonomiczny w Krakowie,Public,https://uek.krakow.pl/
42,małopolskie,University Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie,Public,http://www.ap.krakow.pl/
43,małopolskie,University Rolniczy im. Hugona Kołłątaja w Krakowie,Public,https://urk.edu.pl/
44,małopolskie,Akademia Wychowania Fizycznego im. Bronisława Czecha w Krakowie,Public,http://www.awf.krakow.pl/
45,małopolskie,Akademia Ignatianum w Krakowie,Public,http://www.ignatianum.edu.pl/
46,małopolskie,Uniwersytet Papieski Jana Pawła II,Public,http://www.pat.krakow.pl/
